gene_id,mean_disease,mean_control,log2FC,pvalue,padj,gene_name,biotype
ENSG00000237094,4.261541361587951,4.973419668011565,-0.711878306423614,3.5988856741386854e-06,0.00024021721013736907,,transcribed_unprocessed_pseudogene
ENSG00000249839,3.4300853412312686,4.7736048844807355,-1.3435195432494669,3.7038489892893267e-06,0.00024493416186578123,,unprocessed_pseudogene
ENSG00000243813,1.459567653289986,2.418784458389542,-0.959216805099556,3.882059510740277e-06,0.00025436393601566105,,processed_pseudogene
ENSG00000239873,1.1138147801273002,2.120819768181654,-1.0070049880543537,4.174378252397304e-06,0.0002710309952601959,GAPDHP27,processed_pseudogene
ENSG00000224222,1.9365412422950992,2.755267156004091,-0.8187259137089917,4.247414284064277e-06,0.0002732885839350186,LINC02636,lncRNA
ENSG00000235833,2.4948160921448412,3.450590272109602,-0.9557741799647608,4.456634536742499e-06,0.00028359423345999994,,processed_pseudogene
ENSG00000254876,2.8974330332531286,3.6281347947694185,-0.7307017615162898,4.526707170882105e-06,0.00028359423345999994,SUGT1P4-STRA6LP,lncRNA
ENSG00000288031,0.9689351634894994,1.6511172315384592,-0.6821820680489599,4.488863366125528e-06,0.00028359423345999994,,transcribed_unprocessed_pseudogene
ENSG00000286480,0.9064512392807256,1.551823700212399,-0.6453724609316733,4.730261895735666e-06,0.0002937698300812533,,lncRNA
ENSG00000272732,0.7891063414398035,1.4768475443722258,-0.6877412029324222,5.1250196364538425e-06,0.00031554215727201153,,lncRNA
ENSG00000188801,1.0189774491741173,1.9717061373418256,-0.9527286881677084,5.222211654221098e-06,0.00031699769813151594,ZNF322P1,processed_pseudogene
ENSG00000224905,1.5487496312159634,2.2258142678455997,-0.6770646366296362,5.31174077855745e-06,0.00031699769813151594,,lncRNA
ENSG00000249779,1.3739661374176186,2.086885560115056,-0.7129194226974376,5.326200472666187e-06,0.00031699769813151594,,processed_pseudogene
ENSG00000279954,1.2928015537815303,2.087597821531774,-0.7947962677502436,5.280526826023646e-06,0.00031699769813151594,,lncRNA
ENSG00000287504,1.2023876285162176,2.016761636562566,-0.8143740080463484,5.562656860025328e-06,0.0003203910910830717,,lncRNA
ENSG00000219902,0.8048739542207702,1.2846169752545273,-0.4797430210337571,5.552231314709388e-06,0.0003203910910830717,RPL35P3,processed_pseudogene
ENSG00000272779,2.088856294121801,2.9693621091148605,-0.8805058149930596,5.508595372072378e-06,0.0003203910910830717,BMS1P20,transcribed_unprocessed_pseudogene
ENSG00000253336,1.3688107310568094,2.0594905462540365,-0.6906798151972271,5.5468762283350515e-06,0.0003203910910830717,,processed_pseudogene
ENSG00000227288,1.1057317112073788,1.803673662966916,-0.6979419517595371,5.614670358422558e-06,0.00032079980559883127,ARID3BP1,processed_pseudogene
ENSG00000232036,0.994076205768824,1.623080247658442,-0.629004041889618,5.862503897224869e-06,0.00032245548829825397,,processed_pseudogene
ENSG00000256925,2.5824164399334038,3.4519697878342965,-0.8695533479008928,5.846382450602761e-06,0.00032245548829825397,ADGRA1-AS1,lncRNA
ENSG00000259151,1.2567398439548285,1.7733345817971744,-0.5165947378423459,5.895280242196321e-06,0.00032245548829825397,CAP2P1,transcribed_processed_pseudogene
ENSG00000215241,4.690601841393836,5.546372245636618,-0.8557704042427812,5.722126274143591e-06,0.00032245548829825397,LINC02449,lncRNA
ENSG00000213062,3.5518380504726204,4.532793363140515,-0.9809553126678945,5.914543400598049e-06,0.00032245548829825397,,lncRNA
ENSG00000274104,0.7943533460068363,1.2463886776997721,-0.45203533169293586,5.860308567084971e-06,0.00032245548829825397,,lncRNA
ENSG00000174403,2.0061216417386696,3.0439104595814634,-1.0377888178427939,5.9933952634150245e-06,0.0003242790073584099,CRMA,lncRNA
ENSG00000247728,0.7900769212523026,1.2438580695269095,-0.4537811482746069,6.126699096054011e-06,0.0003289991349174267,ARHGAP11B-DT,lncRNA
ENSG00000254938,0.9956137609086354,1.8606069947186263,-0.8649932338099909,6.187777862987076e-06,0.0003297993246078634,,lncRNA
ENSG00000283415,1.4453657449532813,2.1245921282516145,-0.6792263832983332,6.245213409306061e-06,0.00033039491977232506,,lncRNA
